epoch,step,train_loss_epoch,train_loss_step,val_auc,val_loss
0,43,,,0.5217475295066833,0.031650833785533905
0,43,0.1277187019586563,,,
1,49,,0.031529441475868225,,
1,87,,,0.5165016055107117,0.0306182149797678
1,87,0.030956512317061424,,,
2,99,,0.032261475920677185,,
2,131,,,0.5346863269805908,0.030415957793593407
2,131,0.030991433188319206,,,
3,149,,0.02950003184378147,,
3,175,,,0.5497742891311646,0.03026539646089077
3,175,0.030618784949183464,,,
4,199,,0.029807627201080322,,
4,219,,,0.5803030729293823,0.029981598258018494
4,219,0.030822647735476494,,,
