epoch,lr,step,train_loss_epoch,train_loss_step,val_auc,val_loss
0,,43,,,0.48900410532951355,0.03407454490661621
0,0.00045234974822960794,43,0.12966503202915192,,,
1,,49,,0.032691724598407745,,
1,,87,,,0.5271296501159668,0.030851569026708603
1,0.00032759972964413464,87,0.031598057597875595,,,
2,,99,,0.030672142282128334,,
2,,131,,,0.5466472506523132,0.030711185187101364
2,0.0001734002580633387,131,0.031186841428279877,,,
3,,149,,0.031001737341284752,,
3,,175,,,0.5480297803878784,0.030625632032752037
3,4.865026130573824e-05,175,0.030650662258267403,,,
4,,199,,0.030745964497327805,,
4,,219,,,0.5498441457748413,0.030614878982305527
4,9.999999974752427e-07,219,0.031032996252179146,,,
