epoch,lr,step,train_auc,train_loss_epoch,val_auc,val_loss
0,,7,,,0.5035758018493652,0.039078567177057266
0,0.00045234974822960794,7,0.4947555661201477,0.5138954520225525,,
1,,15,,,0.5153464674949646,0.036344558000564575
1,0.00032759972964413464,15,0.4990217089653015,0.11215316504240036,,
2,,23,,,0.5163612961769104,0.0339524932205677
2,0.0001734002580633387,23,0.4962289035320282,0.040468811988830566,,
3,,31,,,0.5048714876174927,0.03347274661064148
3,4.865026130573824e-05,31,0.49970486760139465,0.03456445410847664,,
4,,39,,,0.5075825452804565,0.03339456394314766
4,9.999999974752427e-07,39,0.49115869402885437,0.03430049493908882,,
