epoch,lr,step,train_auc,train_loss_epoch,train_loss_step,val_auc,val_loss
0,,35,,,,0.5093691945075989,12.921844482421875
0,0.04522551968693733,35,0.49040746688842773,1.0385053157806396,,,
1,,49,,,0.033932868391275406,,
1,,71,,,,0.5211979746818542,0.03154775872826576
1,0.03272577002644539,71,0.5004755854606628,0.0341174341738224,,,
2,,99,,,0.03299735113978386,,
2,,107,,,,0.5419729948043823,0.031846240162849426
2,0.01727522909641266,107,0.49634745717048645,0.03297906368970871,,,
3,,143,,,,0.555722713470459,0.03097476437687874
3,0.004775479435920715,143,0.5160732865333557,0.03175974264740944,,,
4,,149,,,0.0344129353761673,,
4,,179,,,,0.5564931631088257,0.03073418140411377
4,9.999999974752427e-07,179,0.5055897831916809,0.0318266823887825,,,
