epoch,step,train_loss,val_auc,val_loss
0,49,0.030742093920707703,,
0,58,,0.5083474516868591,0.03574000298976898
1,99,0.029551027342677116,,
1,117,,0.5471358299255371,0.0298683512955904
2,149,0.028219472616910934,,
2,176,,0.5871062278747559,0.02912301756441593
3,199,0.02992238849401474,,
3,235,,0.6321329474449158,0.028532737866044044
4,249,0.028268061578273773,,
4,294,,0.6615524888038635,0.028169957920908928
5,299,0.026936236768960953,,
5,349,0.027865571901202202,,
5,353,,0.6869790554046631,0.027744486927986145
